commit,date,status,num_packages
bd3257bbf16e0a5df74b0d92e28ce540c7cff573,2015-09-29 18:07:48 +0200,blocked,1141
bd3257bbf16e0a5df74b0d92e28ce540c7cff573,2015-09-29 18:07:48 +0200,py3-only,0
bd3257bbf16e0a5df74b0d92e28ce540c7cff573,2015-09-29 18:07:48 +0200,dropped,4
bd3257bbf16e0a5df74b0d92e28ce540c7cff573,2015-09-29 18:07:48 +0200,idle,840
bd3257bbf16e0a5df74b0d92e28ce540c7cff573,2015-09-29 18:07:48 +0200,in-progress,7
bd3257bbf16e0a5df74b0d92e28ce540c7cff573,2015-09-29 18:07:48 +0200,released,1163
bd3257bbf16e0a5df74b0d92e28ce540c7cff573,2015-09-29 18:07:48 +0200,legacy-leaf,0
bd3257bbf16e0a5df74b0d92e28ce540c7cff573,2015-09-29 18:07:48 +0200,mispackaged,0
25da1a23e980ad88db5c53ea576e7357a1c18bc2,2015-09-29 19:34:20 +0200,blocked,1141
25da1a23e980ad88db5c53ea576e7357a1c18bc2,2015-09-29 19:34:20 +0200,py3-only,0
25da1a23e980ad88db5c53ea576e7357a1c18bc2,2015-09-29 19:34:20 +0200,dropped,4
25da1a23e980ad88db5c53ea576e7357a1c18bc2,2015-09-29 19:34:20 +0200,idle,840
25da1a23e980ad88db5c53ea576e7357a1c18bc2,2015-09-29 19:34:20 +0200,in-progress,7
25da1a23e980ad88db5c53ea576e7357a1c18bc2,2015-09-29 19:34:20 +0200,released,1163
25da1a23e980ad88db5c53ea576e7357a1c18bc2,2015-09-29 19:34:20 +0200,legacy-leaf,0
25da1a23e980ad88db5c53ea576e7357a1c18bc2,2015-09-29 19:34:20 +0200,mispackaged,0
f8a4b926da79726516886b019087a1edf8e5c505,2015-09-29 19:41:53 +0200,blocked,1141
f8a4b926da79726516886b019087a1edf8e5c505,2015-09-29 19:41:53 +0200,py3-only,0
f8a4b926da79726516886b019087a1edf8e5c505,2015-09-29 19:41:53 +0200,dropped,4
f8a4b926da79726516886b019087a1edf8e5c505,2015-09-29 19:41:53 +0200,idle,840
f8a4b926da79726516886b019087a1edf8e5c505,2015-09-29 19:41:53 +0200,in-progress,7
f8a4b926da79726516886b019087a1edf8e5c505,2015-09-29 19:41:53 +0200,released,1163
f8a4b926da79726516886b019087a1edf8e5c505,2015-09-29 19:41:53 +0200,legacy-leaf,0
f8a4b926da79726516886b019087a1edf8e5c505,2015-09-29 19:41:53 +0200,mispackaged,0
5744ba839a32d8fff9e24b554edafcaf8f91205c,2015-09-30 13:15:14 +0200,blocked,1141
5744ba839a32d8fff9e24b554edafcaf8f91205c,2015-09-30 13:15:14 +0200,py3-only,0
5744ba839a32d8fff9e24b554edafcaf8f91205c,2015-09-30 13:15:14 +0200,dropped,4
5744ba839a32d8fff9e24b554edafcaf8f91205c,2015-09-30 13:15:14 +0200,idle,840
5744ba839a32d8fff9e24b554edafcaf8f91205c,2015-09-30 13:15:14 +0200,in-progress,7
5744ba839a32d8fff9e24b554edafcaf8f91205c,2015-09-30 13:15:14 +0200,released,1163
5744ba839a32d8fff9e24b554edafcaf8f91205c,2015-09-30 13:15:14 +0200,legacy-leaf,0
5744ba839a32d8fff9e24b554edafcaf8f91205c,2015-09-30 13:15:14 +0200,mispackaged,0
690f49a67f76b449b7e623750dc1b948d8b17cbe,2015-09-30 13:35:29 +0200,blocked,1094
690f49a67f76b449b7e623750dc1b948d8b17cbe,2015-09-30 13:35:29 +0200,py3-only,0
690f49a67f76b449b7e623750dc1b948d8b17cbe,2015-09-30 13:35:29 +0200,dropped,4
690f49a67f76b449b7e623750dc1b948d8b17cbe,2015-09-30 13:35:29 +0200,idle,886
690f49a67f76b449b7e623750dc1b948d8b17cbe,2015-09-30 13:35:29 +0200,in-progress,7
690f49a67f76b449b7e623750dc1b948d8b17cbe,2015-09-30 13:35:29 +0200,released,1164
690f49a67f76b449b7e623750dc1b948d8b17cbe,2015-09-30 13:35:29 +0200,legacy-leaf,0
690f49a67f76b449b7e623750dc1b948d8b17cbe,2015-09-30 13:35:29 +0200,mispackaged,0
7b9f5a209e5d51378143a8bf1aa0c22b1790bcaa,2015-09-30 14:11:41 +0200,blocked,1034
7b9f5a209e5d51378143a8bf1aa0c22b1790bcaa,2015-09-30 14:11:41 +0200,py3-only,0
7b9f5a209e5d51378143a8bf1aa0c22b1790bcaa,2015-09-30 14:11:41 +0200,dropped,6
7b9f5a209e5d51378143a8bf1aa0c22b1790bcaa,2015-09-30 14:11:41 +0200,idle,944
7b9f5a209e5d51378143a8bf1aa0c22b1790bcaa,2015-09-30 14:11:41 +0200,in-progress,7
7b9f5a209e5d51378143a8bf1aa0c22b1790bcaa,2015-09-30 14:11:41 +0200,released,1164
7b9f5a209e5d51378143a8bf1aa0c22b1790bcaa,2015-09-30 14:11:41 +0200,legacy-leaf,0
7b9f5a209e5d51378143a8bf1aa0c22b1790bcaa,2015-09-30 14:11:41 +0200,mispackaged,0
668a0e13e0b021899fe8dc56e62fa78b44f64be0,2015-09-30 16:56:52 +0200,blocked,1034
668a0e13e0b021899fe8dc56e62fa78b44f64be0,2015-09-30 16:56:52 +0200,py3-only,0
668a0e13e0b021899fe8dc56e62fa78b44f64be0,2015-09-30 16:56:52 +0200,dropped,6
668a0e13e0b021899fe8dc56e62fa78b44f64be0,2015-09-30 16:56:52 +0200,idle,944
668a0e13e0b021899fe8dc56e62fa78b44f64be0,2015-09-30 16:56:52 +0200,in-progress,7
668a0e13e0b021899fe8dc56e62fa78b44f64be0,2015-09-30 16:56:52 +0200,released,1164
668a0e13e0b021899fe8dc56e62fa78b44f64be0,2015-09-30 16:56:52 +0200,legacy-leaf,0
668a0e13e0b021899fe8dc56e62fa78b44f64be0,2015-09-30 16:56:52 +0200,mispackaged,0
ed4a61e0a4a017437c58dd7dd4c5ed9d35ecc15c,2015-10-01 11:02:44 +0200,blocked,1028
ed4a61e0a4a017437c58dd7dd4c5ed9d35ecc15c,2015-10-01 11:02:44 +0200,py3-only,0
ed4a61e0a4a017437c58dd7dd4c5ed9d35ecc15c,2015-10-01 11:02:44 +0200,dropped,6
ed4a61e0a4a017437c58dd7dd4c5ed9d35ecc15c,2015-10-01 11:02:44 +0200,idle,950
ed4a61e0a4a017437c58dd7dd4c5ed9d35ecc15c,2015-10-01 11:02:44 +0200,in-progress,7
ed4a61e0a4a017437c58dd7dd4c5ed9d35ecc15c,2015-10-01 11:02:44 +0200,released,1164
ed4a61e0a4a017437c58dd7dd4c5ed9d35ecc15c,2015-10-01 11:02:44 +0200,legacy-leaf,0
ed4a61e0a4a017437c58dd7dd4c5ed9d35ecc15c,2015-10-01 11:02:44 +0200,mispackaged,0
e1b300b59960162e6d877f8db40ba157ce6f3c7d,2015-10-01 11:08:56 +0200,blocked,1028
e1b300b59960162e6d877f8db40ba157ce6f3c7d,2015-10-01 11:08:56 +0200,py3-only,0
e1b300b59960162e6d877f8db40ba157ce6f3c7d,2015-10-01 11:08:56 +0200,dropped,6
e1b300b59960162e6d877f8db40ba157ce6f3c7d,2015-10-01 11:08:56 +0200,idle,950
e1b300b59960162e6d877f8db40ba157ce6f3c7d,2015-10-01 11:08:56 +0200,in-progress,8
e1b300b59960162e6d877f8db40ba157ce6f3c7d,2015-10-01 11:08:56 +0200,released,1163
e1b300b59960162e6d877f8db40ba157ce6f3c7d,2015-10-01 11:08:56 +0200,legacy-leaf,0
e1b300b59960162e6d877f8db40ba157ce6f3c7d,2015-10-01 11:08:56 +0200,mispackaged,0
5ccb120a0f39e34d03e92d017b5f3aca4c5246e1,2015-10-01 11:16:16 +0200,blocked,1028
5ccb120a0f39e34d03e92d017b5f3aca4c5246e1,2015-10-01 11:16:16 +0200,py3-only,0
5ccb120a0f39e34d03e92d017b5f3aca4c5246e1,2015-10-01 11:16:16 +0200,dropped,6
5ccb120a0f39e34d03e92d017b5f3aca4c5246e1,2015-10-01 11:16:16 +0200,idle,950
5ccb120a0f39e34d03e92d017b5f3aca4c5246e1,2015-10-01 11:16:16 +0200,in-progress,8
5ccb120a0f39e34d03e92d017b5f3aca4c5246e1,2015-10-01 11:16:16 +0200,released,1163
5ccb120a0f39e34d03e92d017b5f3aca4c5246e1,2015-10-01 11:16:16 +0200,legacy-leaf,0
5ccb120a0f39e34d03e92d017b5f3aca4c5246e1,2015-10-01 11:16:16 +0200,mispackaged,0
5cb71fa9dc653be7909a137b8c4ab85dfa6a3df1,2015-10-01 12:00:28 +0200,blocked,1028
5cb71fa9dc653be7909a137b8c4ab85dfa6a3df1,2015-10-01 12:00:28 +0200,py3-only,0
5cb71fa9dc653be7909a137b8c4ab85dfa6a3df1,2015-10-01 12:00:28 +0200,dropped,6
5cb71fa9dc653be7909a137b8c4ab85dfa6a3df1,2015-10-01 12:00:28 +0200,idle,950
5cb71fa9dc653be7909a137b8c4ab85dfa6a3df1,2015-10-01 12:00:28 +0200,in-progress,8
5cb71fa9dc653be7909a137b8c4ab85dfa6a3df1,2015-10-01 12:00:28 +0200,released,1163
5cb71fa9dc653be7909a137b8c4ab85dfa6a3df1,2015-10-01 12:00:28 +0200,legacy-leaf,0
5cb71fa9dc653be7909a137b8c4ab85dfa6a3df1,2015-10-01 12:00:28 +0200,mispackaged,0
af2a71eb6bc35907eb53490c252d8ff950f1c5fe,2015-10-01 12:17:59 +0200,blocked,1022
af2a71eb6bc35907eb53490c252d8ff950f1c5fe,2015-10-01 12:17:59 +0200,py3-only,0
af2a71eb6bc35907eb53490c252d8ff950f1c5fe,2015-10-01 12:17:59 +0200,dropped,7
af2a71eb6bc35907eb53490c252d8ff950f1c5fe,2015-10-01 12:17:59 +0200,idle,955
af2a71eb6bc35907eb53490c252d8ff950f1c5fe,2015-10-01 12:17:59 +0200,in-progress,8
af2a71eb6bc35907eb53490c252d8ff950f1c5fe,2015-10-01 12:17:59 +0200,released,1163
af2a71eb6bc35907eb53490c252d8ff950f1c5fe,2015-10-01 12:17:59 +0200,legacy-leaf,0
af2a71eb6bc35907eb53490c252d8ff950f1c5fe,2015-10-01 12:17:59 +0200,mispackaged,0
97e98740c68988834023cdfa315b8109ab58ee96,2015-10-01 13:30:37 +0200,blocked,1022
97e98740c68988834023cdfa315b8109ab58ee96,2015-10-01 13:30:37 +0200,py3-only,0
97e98740c68988834023cdfa315b8109ab58ee96,2015-10-01 13:30:37 +0200,dropped,7
97e98740c68988834023cdfa315b8109ab58ee96,2015-10-01 13:30:37 +0200,idle,955
97e98740c68988834023cdfa315b8109ab58ee96,2015-10-01 13:30:37 +0200,in-progress,8
97e98740c68988834023cdfa315b8109ab58ee96,2015-10-01 13:30:37 +0200,released,1163
97e98740c68988834023cdfa315b8109ab58ee96,2015-10-01 13:30:37 +0200,legacy-leaf,0
97e98740c68988834023cdfa315b8109ab58ee96,2015-10-01 13:30:37 +0200,mispackaged,0
ff3c80c242bd34e66d1ca65cf6799ac96d6b7a1b,2015-10-07 12:26:26 +0200,blocked,1022
ff3c80c242bd34e66d1ca65cf6799ac96d6b7a1b,2015-10-07 12:26:26 +0200,py3-only,0
ff3c80c242bd34e66d1ca65cf6799ac96d6b7a1b,2015-10-07 12:26:26 +0200,dropped,7
ff3c80c242bd34e66d1ca65cf6799ac96d6b7a1b,2015-10-07 12:26:26 +0200,idle,955
ff3c80c242bd34e66d1ca65cf6799ac96d6b7a1b,2015-10-07 12:26:26 +0200,in-progress,8
ff3c80c242bd34e66d1ca65cf6799ac96d6b7a1b,2015-10-07 12:26:26 +0200,released,1163
ff3c80c242bd34e66d1ca65cf6799ac96d6b7a1b,2015-10-07 12:26:26 +0200,legacy-leaf,0
ff3c80c242bd34e66d1ca65cf6799ac96d6b7a1b,2015-10-07 12:26:26 +0200,mispackaged,0
ac764df77a6db0ec26a4b5b051ce2760d3b76406,2015-10-09 13:39:12 +0200,blocked,1173
ac764df77a6db0ec26a4b5b051ce2760d3b76406,2015-10-09 13:39:12 +0200,py3-only,0
ac764df77a6db0ec26a4b5b051ce2760d3b76406,2015-10-09 13:39:12 +0200,dropped,7
ac764df77a6db0ec26a4b5b051ce2760d3b76406,2015-10-09 13:39:12 +0200,idle,1023
ac764df77a6db0ec26a4b5b051ce2760d3b76406,2015-10-09 13:39:12 +0200,in-progress,8
ac764df77a6db0ec26a4b5b051ce2760d3b76406,2015-10-09 13:39:12 +0200,released,980
ac764df77a6db0ec26a4b5b051ce2760d3b76406,2015-10-09 13:39:12 +0200,legacy-leaf,0
ac764df77a6db0ec26a4b5b051ce2760d3b76406,2015-10-09 13:39:12 +0200,mispackaged,0
e7d7c7e3fb4c0b98399100747522ec2b40dbd707,2015-10-09 13:43:41 +0200,blocked,1173
e7d7c7e3fb4c0b98399100747522ec2b40dbd707,2015-10-09 13:43:41 +0200,py3-only,0
e7d7c7e3fb4c0b98399100747522ec2b40dbd707,2015-10-09 13:43:41 +0200,dropped,7
e7d7c7e3fb4c0b98399100747522ec2b40dbd707,2015-10-09 13:43:41 +0200,idle,1023
e7d7c7e3fb4c0b98399100747522ec2b40dbd707,2015-10-09 13:43:41 +0200,in-progress,8
e7d7c7e3fb4c0b98399100747522ec2b40dbd707,2015-10-09 13:43:41 +0200,released,980
e7d7c7e3fb4c0b98399100747522ec2b40dbd707,2015-10-09 13:43:41 +0200,legacy-leaf,0
e7d7c7e3fb4c0b98399100747522ec2b40dbd707,2015-10-09 13:43:41 +0200,mispackaged,0
b65b546e20af816cab4b6120d15a4fec92eff230,2015-10-09 14:04:23 +0200,blocked,1173
b65b546e20af816cab4b6120d15a4fec92eff230,2015-10-09 14:04:23 +0200,py3-only,0
b65b546e20af816cab4b6120d15a4fec92eff230,2015-10-09 14:04:23 +0200,dropped,7
b65b546e20af816cab4b6120d15a4fec92eff230,2015-10-09 14:04:23 +0200,idle,1023
b65b546e20af816cab4b6120d15a4fec92eff230,2015-10-09 14:04:23 +0200,in-progress,8
b65b546e20af816cab4b6120d15a4fec92eff230,2015-10-09 14:04:23 +0200,released,980
b65b546e20af816cab4b6120d15a4fec92eff230,2015-10-09 14:04:23 +0200,legacy-leaf,0
b65b546e20af816cab4b6120d15a4fec92eff230,2015-10-09 14:04:23 +0200,mispackaged,0
afd9ac8d338c0968a4344b737e68d07c85315db8,2015-10-09 14:37:06 +0200,blocked,1173
afd9ac8d338c0968a4344b737e68d07c85315db8,2015-10-09 14:37:06 +0200,py3-only,0
afd9ac8d338c0968a4344b737e68d07c85315db8,2015-10-09 14:37:06 +0200,dropped,7
afd9ac8d338c0968a4344b737e68d07c85315db8,2015-10-09 14:37:06 +0200,idle,1023
afd9ac8d338c0968a4344b737e68d07c85315db8,2015-10-09 14:37:06 +0200,in-progress,8
afd9ac8d338c0968a4344b737e68d07c85315db8,2015-10-09 14:37:06 +0200,released,980
afd9ac8d338c0968a4344b737e68d07c85315db8,2015-10-09 14:37:06 +0200,legacy-leaf,0
afd9ac8d338c0968a4344b737e68d07c85315db8,2015-10-09 14:37:06 +0200,mispackaged,0
331519c9724cc315ee08ce9eb53d8ae78bfdf881,2015-10-09 23:35:34 +0200,blocked,951
331519c9724cc315ee08ce9eb53d8ae78bfdf881,2015-10-09 23:35:34 +0200,py3-only,0
331519c9724cc315ee08ce9eb53d8ae78bfdf881,2015-10-09 23:35:34 +0200,dropped,7
331519c9724cc315ee08ce9eb53d8ae78bfdf881,2015-10-09 23:35:34 +0200,idle,1060
331519c9724cc315ee08ce9eb53d8ae78bfdf881,2015-10-09 23:35:34 +0200,in-progress,8
331519c9724cc315ee08ce9eb53d8ae78bfdf881,2015-10-09 23:35:34 +0200,released,904
331519c9724cc315ee08ce9eb53d8ae78bfdf881,2015-10-09 23:35:34 +0200,legacy-leaf,0
331519c9724cc315ee08ce9eb53d8ae78bfdf881,2015-10-09 23:35:34 +0200,mispackaged,0
aeb7a3b3d87c3441e1b6d372e7b8ced4001e38ba,2015-10-09 23:35:54 +0200,blocked,945
aeb7a3b3d87c3441e1b6d372e7b8ced4001e38ba,2015-10-09 23:35:54 +0200,py3-only,0
aeb7a3b3d87c3441e1b6d372e7b8ced4001e38ba,2015-10-09 23:35:54 +0200,dropped,10
aeb7a3b3d87c3441e1b6d372e7b8ced4001e38ba,2015-10-09 23:35:54 +0200,idle,1064
aeb7a3b3d87c3441e1b6d372e7b8ced4001e38ba,2015-10-09 23:35:54 +0200,in-progress,8
aeb7a3b3d87c3441e1b6d372e7b8ced4001e38ba,2015-10-09 23:35:54 +0200,released,903
aeb7a3b3d87c3441e1b6d372e7b8ced4001e38ba,2015-10-09 23:35:54 +0200,legacy-leaf,0
aeb7a3b3d87c3441e1b6d372e7b8ced4001e38ba,2015-10-09 23:35:54 +0200,mispackaged,0
9ac4a5d04d9fc8cbdaf0419e4e4e3ef3f1e79b1d,2015-10-15 18:08:01 +0200,blocked,907
9ac4a5d04d9fc8cbdaf0419e4e4e3ef3f1e79b1d,2015-10-15 18:08:01 +0200,py3-only,0
9ac4a5d04d9fc8cbdaf0419e4e4e3ef3f1e79b1d,2015-10-15 18:08:01 +0200,dropped,10
